Tarih,Fon Kodu,Fon Adı,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
2/1/2024,BUL,AKTİF PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),"0,945847","17464020,00",579,"16518288,84"
2/1/2024,BUT,AZİMUT PORTFÖY BULUT HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),"1,351315","730242696,00",5,"986788065,56"
4/16/2024,YAS,YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),"13,17","1116467753,00",121796,"14.703.088.589,55"
2/1/2024,BVH,BV PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),0,"0,00",0,"0,00"
2/1/2024,BVM,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),"2,882016","19753336,00",66,"56929427,25"
2/1/2024,CSH,A1 PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),"2,235214","74062301,00",69,"165545087,44"
2/1/2024,DAH,DENİZ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),"2,088365","158570100,00",2225,"331152248,94"
2/1/2024,DHJ,DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),"4,743021","54594373,00",5338,"258942283,35"
2/1/2024,DHS,DENİZ PORTFÖY CC HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),"351,913994","3014226,00",1,"1060748309,89"
2/1/2024,DKH,DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),"1,77565","20050458,00",1085,"35602598,43"
2/1/2024,DLD,DENİZ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),"4,338069","11531641,00",571,"50025055,80"
2/1/2024,DNA,DENİZ PORTFÖY ANATOLİA HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),"1,65918","302669884,00",6,"502183917,73"
2/1/2024,DPT,DENİZ PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON ),"10,047932","14244425,00",3266,"143127013,87"
2/1/2024,DRH,A1 PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),"0,85296","139500550,00",94,"118988333,47"
2/1/2024,DTL,DENİZ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),"2,205776","173899027,00",4395,"383582324,93"
2/1/2024,DUH,HEDEF PORTFÖY UFUK HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),0,"0,00",0,"0,00"
2/1/2024,DXP,DENİZ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),"1,081875","13800694,00",1091,"14930626,53"
2/1/2024,DZE,DENİZ PORTFÖY BIST 100 ENDEKSİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),"0,582405","261870400,00",3181,"152514531,26"
2/1/2024,EC2,GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),"56,887679","5158415,31",5144,"293450275,95"
2/1/2024,EHS,AZİMUT PORTFÖY ERCİYES HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),"4,879945","237952886,00",3,"1161196895,20"
2/1/2024,EID,QİNVEST PORTFÖY HİSSE SENEDİ FONU (HİSSE YOĞUN FON),"1,091418","161194184,00",2980,"175930185,16"
2/1/2024,ELZ,QİNVEST PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),"7,298297","15287738,00",620,"111574451,05"
2/1/2024,FNT,HEDEF PORTFÖY MODEL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),"1,117974","551818634,00",4995,"616918843,07"
2/1/2024,FPH,FİBA PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),"19,004249","76588486,00",7480,"1455506666,40"
2/1/2024,FPR,STRATEJİ PORTFÖY FOREST HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),"5,072967","12144032,00",25,"61606277,19"
2/1/2024,FSG,FİBA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),"2,156936","121877119,00",456,"262881194,45"
2/1/2024,FS3,FONERİA PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),"0,976414","707824,00",12,"691129,57"
4/9/2024,YAS,YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),"13,20","1108283075,00",116742,"14.631.901.573,66"
2/1/2024,FYD,QNB FİNANS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),"6,472764","276894748,08",5616,"1792274377,71"
